sid	sentence	disrel	relphrase	arg1	arg2	annotationOpt
294	A meter describes an object's length.	cause		meter	describes an object's length	
295	A claws for obtaining food is correctly paired with its function.	effect		claws	obtaining food	
296	The functions of a plant's roots are to support the plant and take in water and nutrients.	cause		roots	support the plant and take in water and nutrients	
297	A person does use mechanical energy to pedal a bicycle.	purpose		mechanical energy	pedal a bicycle	
298	A student measured the volume of water in a pan. The student boiled the water for thirty minutes and then measured the volume of the water again. The volume of water most likely decreased.	effect		The student boiled the water	decreased	
299	A metal fork is the best conductor of electricity.	purpose		a metal fork	conductor of electricity	
300	Meters can be used to describe an objects length.	requirement		Meters	describe an objects length	
301	The movement of soil by wind or water is called erosion.	cause		movement of soil by wind or water	erosion	
302	Sleet and hail are forms of precipitation.	example		Sleet and hail	precipitation	
303	Heat energy causes an ice cube to melt.	condition		Heat energy	an ice cube to melt	
304	All animals do need water, air, and food in order to survive.	condition		water, air and food	survive	
305	Fourth graders are planning a roller-skate race. Blacktop would be the best for this race.	enable		Blacktop	this race	
306	An iron nail is the best conductor of electricity.	condition		iron nail	conductor of electricity	
307	Many birds fly south for the winter. This adaptation is called migration.	effect		Many birds fly south for the winter	migration	
308	Centimeters can be used to describe the length of a desk.	example		Centimeters	describe the length of a desk	
309	Animals get energy for growth and repair from food.	cause		get energy	growth and repair from food	
310	During an experiment, a student reports that a liquid turned green when mixed with another liquid. This is an example of an observation.	condition		This	observation	
311	An example of a learned trait is being able to read.	example		a learned trait	being able to read	
312	A human offspring can inherit blue eyes.	requirement		A human offspring	blue eyes	
313	A fox grows thicker fur as a season changes. This adaptation helps the fox to keep warmer.	condition		A fox grows thicker fur	keep warmer	
314	A student crumples up a sheet of paper. Shape has changed.	effect		crumples up a sheet of paper	Shape has changed	
315	Grow and reproduce are carried out by all species of living things.	cause		Grow and reproduce	carried by all species of living things	
316	Windy, cloudy, rainy, and cold are words that help describe weather.	example		Windy, cloudy, rainy, and cold	describe weather	
317	Having blue eyes is inherited rather than learned.	cause		Having blue eyes	inherited	
318	A ball is tossed up in the air and it comes back down. The ball comes back down because of gravity.	part		ball comes back down	gravity	
319	A girl eating an apple describes an organism taking in nutrients.	purpose		A girl eating an apple	an organism taking in nutrients	
320	Decrease the temperature is one way to change water from a liquid to a solid.	enable		Decrease the temperature	change water from a liquid to a solid	
321	Resting is necessary for humans to maintain good health.	purpose		resting	maintain good health	
322	Some butterflies live an average of two weeks. This period of time is called a life span.	enable		live a average of two weeks	life span	
323	A bicycle is nonliving.	enable		bicycle	nonliving	
324	A puddle drying in the sun is the best example of evaporation.	example		puddle drying in the sun	evaporation	
325	The length of daylight in New York State changes from summer to fall by decreasing.	condition		The length of daylight	changes from summer to fall by decreasing	
326	Animals get energy for growth and repair from food.	requirement		get energy	growth and repair from food	
327	A bird migrating south is an example of an animal adapting to a change in the environment.	purpose		A bird migrating south	adapting to a change in the environment	
328	If an object is attracted to a magnet, the object is most likely made of metal.	effect		an object is attracted to a magnet	the object is most likely made of metal	
329	Apple trees can live for many years, but bean plants usually live for only a few months. This statement suggests that different plants have different life spans.	requirement		statement	different plants have different life spans	
330	A person does use mechanical energy to pedal a bicycle.	example		mechanical energy	pedal a bicycle	
331	A puppy can inherit spotted fur from its parents.	purpose		puppy	spotted fur from its parents	
332	A puddle drying in the sun is the best example of evaporation.	requirement		puddle drying in the sun	evaporation	
333	It rained on a hot summer afternoon and a puddle formed. After several hours, the puddle was gone. Precipitation followed by evaporation made the puddle form and then disappear.	purpose		Precipitation followed by evaporation 	form and then disappear	
334	A squirrel storing nuts is preparing for a seasonal change in the environment.	effect		storing nuts	preparing for a seasonal change	
335	Resting is necessary for humans to maintain good health.	effect		resting	maintain good health	
336	A graduated cylinder would be best to measure the volume of a liquid.	effect		A graduated cylinder	measure the volume of a liquid	
337	A student should use a graduated cylinder to measure exactly 10 milliliters (mL) of water.	enable		a graduated cylinder	measure the volume of a liquid	
338	Some birds fly south before winter each year. This is an example of migration.	enable		Some birds fly south before winter	migration	
339	A student should use a balance to compare the masses of two small rocks.	cause		balance	compare the masses of two small rocks	
340	Chemical energy is found in food.	enable		Chemical energy	found in food	
341	Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. If the day were cool instead of hot, the rainwater in the pan would have disappeared slower.	effect		day were cool	disappeared slower	
342	An iron nail is the best conductor of electricity.	purpose		iron nail	conductor of electricity	
343	A stove is used to boil water in a pan is an example in which a thermometer could be used to show that heat energy is being transferred.	effect		A stove is used to boil water in a pan	a thermometer could be used to show that heat energy is being transferred	
344	A student riding a bicycle observes that it moves faster on a smooth road than on a rough road. This happens because the smooth road has less friction.	cause		This	smooth road has less friction	
345	A metal fork is the best conductor of electricity.	enable		a metal fork	conductor of electricity	
346	Resting is necessary for humans to maintain good health.	enable		resting	maintain good health	
347	Sleet, rain, snow, and hail are forms of precipitation.	example		Sleet, rain, snow, and hail	precipitation	
348	A turtle eating worms is an example of taking in nutrients.	example		A turtle eating worms	taking in nutrients	
349	Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. Evaporation caused the rainwater in the pan to disappear as it sat outside in the hot air.	cause		Evaporation	disappear	
350	A student puts two identical plants in the same type and amount of soil. She gives them the same amount of water. She puts one of these plants near a sunny window and the other in a dark room. This experiment tests how the plants respond to light.	cause		experiment tests	how the plants respond to light	
351	Living things depend on energy from the Sun.	part		Sun	Living things	
352	A squirrel storing nuts is preparing for a seasonal change in the environment.	requirement		storing nuts	preparing for a seasonal change	
353	Touch is used to determine an object's texture.	requirement		Touch	determine an object's texture	
354	Frogs lay eggs that develop into tadpoles and then into adult frogs. This sequence of changes is an example of how living things go through a life cycle.	effect		sequence of changes	how living things go through a life cycle	
355	Growing thicker fur in the winter helps some animals to keep warm.	condition		Growing thicker fur	keep warm	
356	In New York State, the shortest period of daylight occurs during December.	enable		the shortest period of daylight	during December	
357	A squirrel storing nuts is preparing for a seasonal change in the environment.	example		storing nuts	preparing for a seasonal change	
358	An example of a learned trait is being able to read.	condition		a learned trait	being able to read	
359	A decomposer is an organism that recycles nutrients.	purpose		decomposer	recycles nutrients	
360	Chemical energy is found in food.	requirement		Chemical energy	found in food	
361	A bird migrating south is an example of an animal adapting to a change in the environment.	part		A bird migrating south	adapting to a change in the environment	
362	Exercising daily is one way that humans can maintain good health.	effect		Exercising daily	humans can maintain good health	
363	A graduated cylinder would be best to measure the volume of a liquid.	enable		A graduated cylinder	measure the volume of a liquid	
364	A bird migrating south is an example of an animal adapting to a change in the environment.	enable		A bird migrating south	adapting to a change in the environment	
365	Exercising every day is an example of a good health habit.	requirement		Exercising every day	good health habit	
366	Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. Evaporation caused the rainwater in the pan to disappear as it sat outside in the hot air.	effect		Evaporation	disappear	
367	Coloration often helps an animal attract a mate.	enable		Coloration	attract a mate	
368	When an ice cube melts, its state of matter changes from a solid to a liquid.	purpose		an ice cube melts	state of matter changes from a solid to a liquid	
369	When plants and animals die, decomposers help return nutrients to the food chain.	requirement		decomposers	return nutrients	
370	When a baby shakes a rattle, it makes a noise. Mechanical energy was changed to sound energy.	example		a baby shakes a rattle	Mechanical energy was changed to sound energy	
371	Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. Evaporation caused the rainwater in the pan to disappear as it sat outside in the hot air.	part		Evaporation	disappear	
372	The main function of a duck's webbed feet is to help the duck swim in water.	effect		a duck's webbed feet	swim in water	
373	Many birds fly south for the winter. This adaptation is called migration.	example		Many birds fly south for the winter	migration	
374	When an ice cube melts, its state of matter changes from a solid to a liquid.	example		an ice cube melts	state of matter changes from a solid to a liquid	
375	Mechanical energy is being used when a person pushes a wooden block across the floor.	requirement		Mechanical energy	pushes a wooden block across the floor	
376	A decomposer is an organism that recycles nutrients.	example		decomposer	recycles nutrients	
377	A thick fur would best help a bear to survive a winter in New York State.	part		thick fur	survive in winter	
378	Many birds fly south for the winter. This adaptation is called migration.	part		Many birds fly south for the winter	migration	
379	Some birds fly south before winter each year. This is an example of migration.	effect		Some birds fly south before winter	migration	
380	A student measured the volume of water in a pan. The student boiled the water for thirty minutes and then measured the volume of the water again. The volume of water most likely decreased.	enable		The student boiled the water	decreased	
381	Heat is needed to change water from a liquid to a gas.	condition		Heat	change water from a liquid to a gas	
382	Meters can be used to describe an objects length.	example		Meters	describe an objects length	
383	A dog opens its mouth and lets its tongue hang out. A human's body produces sweat. These are two ways that organisms may adjust to hot temperatures.	purpose		opens its mouth and lets its tongue hang out	adjust to hot temperatures	
384	A student measured the volume of water in a pan. The student boiled the water for thirty minutes and then measured the volume of the water again. The volume of water most likely decreased.	requirement		The student boiled the water	decreased	
385	Heat is needed to change water from a liquid to a gas.	cause		Heat	change water from a liquid to a gas	
386	The main function of scales on a fish is to protect the fish.	enable		scales of a fish	protect the fish	
387	A mother hen clucks loudly when danger is near and her chicks quickly gather around her. Sound helps the chicks receive this warning about danger from their mother.	example		Sound	receive this warning about danger	
388	Gravity causes rocks to roll downhill.	condition		Gravity	rocks to roll downhill	
389	A mother hen clucks loudly when danger is near and her chicks quickly gather around her. Sound helps the chicks receive this warning about danger from their mother.	cause		Sound	receive this warning about danger	
390	Sleet, rain, snow, and hail are forms of precipitation.	purpose		Sleet, rain, snow, and hail	precipitation	
391	A mother hen clucks loudly when danger is near and her chicks quickly gather around her. Sound helps the chicks receive this warning about danger from their mother.	purpose		Sound	receive this warning about danger	
392	Resting is necessary for humans to maintain good health.	example		resting	maintain good health	
393	Having blue eyes is inherited rather than learned.	effect		Having blue eyes	inherited	
394	Temperatures below freezing are expected overnight. Covering them might be done to protect plants growing outside.	enable		Covering them	protect plants growing outside	
395	A girl eating an apple describes an organism taking in nutrients.	requirement		A girl eating an apple	an organism taking in nutrients	
396	The length of daylight in New York State changes from summer to fall by decreasing.	cause		The length of daylight	changes from summer to fall by decreasing	
397	A student has a ball of clay that sinks when placed in a pan of water. He should change shape to make the clay float.	cause		change shape	make the clay float	
398	Flower of a plant produces the seeds.	example		Flower of a plant	seeds	
399	Humans depend on water from the environment.	requirement		water	humans	
400	Animals get energy for growth and repair from food.	part		get energy	growth and repair from food	
401	A metal fork is the best conductor of electricity.	example		a metal fork	conductor of electricity	
402	Cutting down a rain forest is most harmful to the natural environment.	cause		Cutting down a rain forest	natural environment	
403	A bird migrating south is an example of an animal adapting to a change in the environment.	cause		A bird migrating south	adapting to a change in the environment	
404	A student reaches one hand into a bag filled with smooth objects. The student feels the objects but does not look into the bag. The student can most likely identify shape.	example		A student reaches one hand into a bag filled with smooth objects	The student can most likely identify shape	
405	Sight can be used to determine an objects ability to reflect light.	purpose		Sight	determine an objects ability to reflect light	
406	A human offspring can inherit blue eyes.	condition		A human offspring	blue eyes	
407	In New York State, the longest period of daylight occurs during June.	enable		the longest period of daylight	during June	
408	Sleet and hail are forms of precipitation.	requirement		Sleet and hail	precipitation	
409	All animals do need water, air, and food in order to survive.	part		water, air and food	survive	
410	When plants and animals die, decomposers help return nutrients to the food chain.	enable		decomposers	return nutrients	
411	Polluting most often has a harmful effect on the environment.	part		Polluting	environment	
412	A girl eating an apple describes an organism taking in nutrients.	effect		A girl eating an apple	an organism taking in nutrients	
413	Grow and reproduce are carried out by all species of living things.	example		Grow and reproduce	carried by all species of living things	
414	Growth causes the leaves of a plant to become larger.	condition		Growth	leaves of a plant to become larger	
415	A student drops a ball. Gravity causes the ball to fall to the ground.	condition		Gravity	the ball to fall to the ground	
416	Many birds fly south for the winter. This adaptation is called migration.	cause		Many birds fly south for the winter	migration	
417	A pumpkin is a fruit.	condition		pumpkin	a fruit	
418	Exercising every day is an example of a good health habit.	enable		Exercising every day	good health habit	
419	Cutting down a rain forest is most harmful to the natural environment.	part		Cutting down a rain forest	natural environment	
420	Polluting most often has a harmful effect on the environment.	requirement		Polluting	environment	
421	Sleet, rain, snow, and hail are forms of precipitation.	part		Sleet, rain, snow, and hail	precipitation	
422	Heat energy causes an ice cube to melt.	example		Heat energy	an ice cube to melt	
423	Green plants get the energy they need to make food from sunlight.	part		sunlight	make food	
424	A girl signals her friend by shining a flashlight on a mirror. Her friend can see the signal because light energy can be reflected from one object to another.	part		light energy can be reflected from one object to another	see the signal	
425	Chemical energy is found in food.	condition		Chemical energy	found in food	
426	A human offspring can inherit blue eyes.	cause		A human offspring	blue eyes	
427	It rained on a hot summer afternoon and a puddle formed. After several hours, the puddle was gone. Precipitation followed by evaporation made the puddle form and then disappear.	requirement		Precipitation followed by evaporation 	form and then disappear	
428	A student reaches one hand into a bag filled with smooth objects. The student feels the objects but does not look into the bag. The student can most likely identify shape.	cause		A student reaches one hand into a bag filled with smooth objects	The student can most likely identify shape	
429	A dog opens its mouth and lets its tongue hang out. A human's body produces sweat. These are two ways that organisms may adjust to hot temperatures.	part		opens its mouth and lets its tongue hang out	adjust to hot temperatures	
430	Exercising daily is one way that humans can maintain good health.	enable		Exercising daily	humans can maintain good health	
431	Having blue eyes is inherited rather than learned.	condition		Having blue eyes	inherited	
432	A marble is dropped in a glass of water. Gravity pulls the marble to the bottom of the glass.	example		Gravity	pulls the marble to the bottom	
433	Heat is needed to change water from a liquid to a gas.	part		Heat	change water from a liquid to a gas	
434	It takes one week for Earth to rotate on its axis seven times.	example		Earth to rotate	one week	
435	It rained on a hot summer afternoon and a puddle formed. After several hours, the puddle was gone. Precipitation followed by evaporation made the puddle form and then disappear.	part		Precipitation followed by evaporation 	form and then disappear	
436	Exercising every day is an example of a good health habit.	effect		Exercising every day	good health habit	
437	When plants and animals die, decomposers help return nutrients to the food chain.	condition		decomposers	return nutrients	
438	A girl signals her friend by shining a flashlight on a mirror. Her friend can see the signal because light energy can be reflected from one object to another.	enable		light energy can be reflected from one object to another	see the signal	
439	The functions of a plant's roots are to support the plant and take in water and nutrients.	example		roots	support the plant and take in water and nutrients	
440	Green plants get the energy they need to make food from sunlight.	purpose		sunlight	make food	
441	Sense of smell helps a fox find food.	requirement		Sense of smell	find food	
442	Decrease the temperature is one way to change water from a liquid to a solid.	requirement		Decrease the temperature	change water from a liquid to a solid	
443	During an experiment, a student reports that a liquid turned green when mixed with another liquid. This is an example of an observation.	example		This	observation	
444	A duck's feathers are covered with a natural oil that keeps the duck dry. This is a special feature ducks have that helps them adapt to their environment.	effect		special feature	adapt to their environment	
445	Gravity causes rocks to roll downhill.	requirement		Gravity	rocks to roll downhill	
446	A student reaches one hand into a bag filled with smooth objects. The student feels the objects but does not look into the bag. The student can most likely identify shape.	enable		A student reaches one hand into a bag filled with smooth objects	The student can most likely identify shape	
447	A girl signals her friend by shining a flashlight on a mirror. Her friend can see the signal because light energy can be reflected from one object to another.	example		light energy can be reflected from one object to another	see the signal	
448	Growing thicker fur in the winter helps some animals to keep warm.	enable		Growing thicker fur	keep warm	
449	Polluting most often has a harmful effect on the environment.	enable		Polluting	environment	
450	Living things depend on energy from the Sun.	condition		Sun	Living things	
451	Apple trees can live for many years, but bean plants usually live for only a few months. This statement suggests that different plants have different life spans.	effect		statement	different plants have different life spans	
452	A graduated cylinder would be best to measure the volume of a liquid.	condition		A graduated cylinder	measure the volume of a liquid	
453	Humans depend on water from the environment.	part		water	humans	
454	A turtle eating worms is an example of taking in nutrients.	requirement		A turtle eating worms	taking in nutrients	
455	Decrease the temperature is one way to change water from a liquid to a solid.	cause		Decrease the temperature	change water from a liquid to a solid	
456	When a person speaks into a telephone, sound energy is changed mostly into electrical energy.	cause		speaks into a telephone	sound energy is changed into electricity energy	
457	Temperatures below freezing are expected overnight. Covering them might be done to protect plants growing outside.	effect		Covering them	protect plants growing outside	
458	The main function of scales on a fish is to protect the fish.	example		scales of a fish	protect the fish	
459	A turtle eating worms is an example of taking in nutrients.	cause		A turtle eating worms	taking in nutrients	
460	Fourth graders are planning a roller-skate race. Blacktop would be the best for this race.	condition		Blacktop	this race	
461	Touch is used to determine an object's texture.	cause		Touch	determine an object's texture	
462	Some birds fly south before winter each year. This is an example of migration.	condition		Some birds fly south before winter	migration	
463	Sunlight is the main source of energy for the water cycle.	example		Sunlight	the water cycle	
464	Mechanical energy is being used when a person pushes a wooden block across the floor.	effect		Mechanical energy	pushes a wooden block across the floor	
465	A student reaches one hand into a bag filled with smooth objects. The student feels the objects but does not look into the bag. The student can most likely identify shape.	effect		A student reaches one hand into a bag filled with smooth objects	The student can most likely identify shape	
466	Sleet and hail are forms of precipitation.	condition		Sleet and hail	precipitation	
467	A pumpkin is a fruit.	cause		pumpkin	a fruit	
468	Growth causes the leaves of a plant to become larger.	purpose		Growth	leaves of a plant to become larger	
469	Sleet, rain, snow, and hail are forms of precipitation.	cause		Sleet, rain, snow, and hail	precipitation	
470	When a person speaks into a telephone, sound energy is changed mostly into electrical energy.	effect		speaks into a telephone	sound energy is changed into electricity energy	
471	Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. Evaporation caused the rainwater in the pan to disappear as it sat outside in the hot air.	enable		Evaporation	disappear	
472	In New York State, the shortest period of daylight occurs during December.	condition		the shortest period of daylight	during December	
473	A bird migrating south is an example of an animal adapting to a change in the environment.	example		A bird migrating south	adapting to a change in the environment	
474	A student riding a bicycle observes that it moves faster on a smooth road than on a rough road. This happens because the smooth road has less friction.	part		This	smooth road has less friction	
475	If an object is attracted to a magnet, the object is most likely made of metal.	example		an object is attracted to a magnet	the object is most likely made of metal	
476	The length of daylight in New York State changes from summer to fall by decreasing.	purpose		The length of daylight	changes from summer to fall by decreasing	
477	Windy, cloudy, rainy, and cold are words that help describe weather.	effect		Windy, cloudy, rainy, and cold	describe weather	
478	Temperatures below freezing are expected overnight. Covering them might be done to protect plants growing outside.	requirement		Covering them	protect plants growing outside	
479	Winter season is a season of the year during which a rabbits fur would be thickest.	example		Winter season	a rabbits fur would be thickest	
480	Since green plants make their own food, they are called producers.	example		green plants make their own food	producers	
481	One way animals usually respond to a sudden drop in temperature is by shivering.	enable		shivering	respond to a sudden drop in temperature	
482	During winter, the white fur of an arctic fox blends in with the snow. This adaptation is called camouflage.	part		adaptation	camouflag	
483	The functions of a plant's roots are to support the plant and take in water and nutrients.	part		roots	support the plant and take in water and nutrients	
484	Water is usually found in nature as a liquid, solid, and gas.	condition		Water	liquid, solid, and gas	
485	Water is usually found in nature as a liquid, solid, and gas.	requirement		Water	liquid, solid, and gas	
486	Centimeters can be used to describe the length of a desk.	enable		Centimeters	describe the length of a desk	
487	A snowy field is an environment in which a white rabbit would be best protected from predators.	example		snowy field	be best protected from predators	
488	A squirrel storing nuts is preparing for a seasonal change in the environment.	purpose		storing nuts	preparing for a seasonal change	
489	Some butterflies live an average of two weeks. This period of time is called a life span.	example		live a average of two weeks	life span	
490	Flower of a plant produces the seeds.	requirement		Flower of a plant	seeds	
491	Some butterflies live an average of two weeks. This period of time is called a life span.	condition		live a average of two weeks	life span	
492	A student is growing some plants for an experiment. She notices small white spots on the leaves. She should use a hand lens to get a better look at the spots.	part		a hand lens	get a better look at the spots	
493	A student riding a bicycle observes that it moves faster on a smooth road than on a rough road. This happens because the smooth road has less friction.	example		This	smooth road has less friction	
494	A metal fork is the best conductor of electricity.	part		a metal fork	conductor of electricity	
495	Temperature and sky conditions are both used to describe weather.	part		Temperature and sky conditions	describe	
496	When an ice cube melts, its state of matter changes from a solid to a liquid.	enable		an ice cube melts	state of matter changes from a solid to a liquid	
497	Having blue eyes is inherited rather than learned.	enable		Having blue eyes	inherited	
498	Sunlight is the main source of energy for the water cycle.	enable		Sunlight	the water cycle	
499	A thick fur would best help a bear to survive a winter in New York State.	example		thick fur	survive in winter	
500	The movement of soil by wind or water is called erosion.	part		movement of soil by wind or water	erosion	
501	Mechanical energy is being used when a person pushes a wooden block across the floor.	purpose		Mechanical energy	pushes a wooden block across the floor	
502	A meter describes an object's length.	enable		meter	describes an object's length	
503	A metal fork is the best conductor of electricity.	cause		a metal fork	conductor of electricity	
504	An iron nail is the best conductor of electricity.	example		iron nail	conductor of electricity	
505	A ball is tossed up in the air and it comes back down. The ball comes back down because of gravity.	cause		ball comes back down	gravity	
506	The main function of a duck's webbed feet is to help the duck swim in water.	requirement		a duck's webbed feet	swim in water	
507	Decrease the temperature is one way to change water from a liquid to a solid.	part		Decrease the temperature	change water from a liquid to a solid	
508	A snowy field is an environment in which a white rabbit would be best protected from predators.	part		snowy field	be best protected from predators	
509	In New York State, the longest period of daylight occurs during June.	requirement		the longest period of daylight	during June	
510	Gravity causes a marble to sink to the bottom of a glass of water.	example		Gravity	a marble to sink to the bottom of a glass of water	
511	Heat energy causes an ice cube to melt.	enable		Heat energy	an ice cube to melt	
512	Some birds fly south before winter each year. This is an example of migration.	part		Some birds fly south before winter	migration	
513	A student has a ball of clay that sinks when placed in a pan of water. He should change shape to make the clay float.	part		change shape	make the clay float	
514	Winter season is a season of the year during which a rabbits fur would be thickest.	condition		Winter season	a rabbits fur would be thickest	
515	An iron nail is the best conductor of electricity.	part		iron nail	conductor of electricity	
516	A decomposer is an organism that breaks down dead plants and animals.	condition		decomposer	breaks down dead plants and animals	
517	Sunlight is the main source of energy for the water cycle.	cause		Sunlight	the water cycle	
518	The movement of soil by wind or water is called erosion.	requirement		movement of soil by wind or water	erosion	
519	A student should use a graduated cylinder to measure exactly 10 milliliters (mL) of water.	part		a graduated cylinder	measure the volume of a liquid	
520	It takes one week for Earth to rotate on its axis seven times.	part		Earth to rotate	one week	
521	A puppy can inherit spotted fur from its parents.	requirement		puppy	spotted fur from its parents	
522	An example of a learned trait is being able to read.	purpose		a learned trait	being able to read	
523	A squirrel storing nuts is preparing for a seasonal change in the environment.	condition		storing nuts	preparing for a seasonal change	
524	Sense of smell helps a fox find food.	example		Sense of smell	find food	
525	Coloration often helps an animal attract a mate.	purpose		Coloration	attract a mate	
526	The length of daylight in New York State changes from summer to fall by decreasing.	requirement		The length of daylight	changes from summer to fall by decreasing	
527	A dog opens its mouth and lets its tongue hang out. A human's body produces sweat. These are two ways that organisms may adjust to hot temperatures.	effect		opens its mouth and lets its tongue hang out	adjust to hot temperatures	
528	Temperature and sky conditions are both used to describe weather.	example		Temperature and sky conditions	describe	
529	A duck's feathers are covered with a natural oil that keeps the duck dry. This is a special feature ducks have that helps them adapt to their environment.	condition		special feature	adapt to their environment	
530	Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. Evaporation caused the rainwater in the pan to disappear as it sat outside in the hot air.	condition		Evaporation	disappear	
531	Winter season is a season of the year during which a rabbits fur would be thickest.	enable		Winter season	a rabbits fur would be thickest	
532	When plants and animals die, decomposers help return nutrients to the food chain.	cause		decomposers	return nutrients	
533	Meters can be used to describe an objects length.	purpose		Meters	describe an objects length	
534	Flower of a plant produces the seeds.	cause		Flower of a plant	seeds	
535	Exercising daily is one way that humans can maintain good health.	condition		Exercising daily	humans can maintain good health	
536	In New York State, the longest period of daylight occurs during June.	example		the longest period of daylight	during June	
537	A dog opens its mouth and lets its tongue hang out. A human's body produces sweat. These are two ways that organisms may adjust to hot temperatures.	enable		opens its mouth and lets its tongue hang out	adjust to hot temperatures	
538	A student is growing some plants for an experiment. She notices small white spots on the leaves. She should use a hand lens to get a better look at the spots.	enable		a hand lens	get a better look at the spots	
539	A student reaches one hand into a bag filled with smooth objects. The student feels the objects but does not look into the bag. The student can most likely identify shape.	condition		A student reaches one hand into a bag filled with smooth objects	The student can most likely identify shape	
540	A car skids along the road and smoke appears to be coming from under the tires. The heat that produces the smoke is caused by friction.	example		heat that produces the smoke	friction	
541	A student drops a ball. Gravity causes the ball to fall to the ground.	enable		Gravity	the ball to fall to the ground	
542	A person does use mechanical energy to pedal a bicycle.	effect		mechanical energy	pedal a bicycle	
543	A thick fur would best help a bear to survive a winter in New York State.	cause		thick fur	survive in winter	
544	Temperatures below freezing are expected overnight. Covering them might be done to protect plants growing outside.	part		Covering them	protect plants growing outside	
545	The main function of a duck's webbed feet is to help the duck swim in water.	part		a duck's webbed feet	swim in water	
546	A puddle drying in the sun is the best example of evaporation.	enable		puddle drying in the sun	evaporation	
547	A student riding a bicycle observes that it moves faster on a smooth road than on a rough road. This happens because the smooth road has less friction.	effect		This	smooth road has less friction	
548	When plants and animals die, decomposers help return nutrients to the food chain.	effect		decomposers	return nutrients	
549	Water freezing is an example of a liquid changing to a solid.	effect		Water freezing	a liquid changing to a solid	
550	A thick fur would best help a bear to survive a winter in New York State.	condition		thick fur	survive in winter	
551	When a person speaks into a telephone, sound energy is changed mostly into electrical energy.	purpose		speaks into a telephone	sound energy is changed into electricity energy	
552	An example of a learned trait is being able to read.	part		a learned trait	being able to read	
553	An example of a learned trait is being able to read.	enable		a learned trait	being able to read	
554	Growing thicker fur in the winter helps some animals to keep warm.	purpose		Growing thicker fur	keep warm	
555	A marble is dropped in a glass of water. Gravity pulls the marble to the bottom of the glass.	enable		Gravity	pulls the marble to the bottom	
556	Sense of smell helps a fox find food.	part		Sense of smell	find food	
557	Sunlight is the main source of energy for the water cycle.	effect		Sunlight	the water cycle	
558	Rotation of Earth causes day and night.	enable		Rotation of Earth	day and night	
559	A student drops a ball. Gravity causes the ball to fall to the ground.	purpose		Gravity	the ball to fall to the ground	
560	A mother hen clucks loudly when danger is near and her chicks quickly gather around her. Sound helps the chicks receive this warning about danger from their mother.	requirement		Sound	receive this warning about danger	
561	A student has a ball of clay that sinks when placed in a pan of water. He should change shape to make the clay float.	effect		change shape	make the clay float	
562	Temperatures below freezing are expected overnight. Covering them might be done to protect plants growing outside.	purpose		Covering them	protect plants growing outside	
563	Sight can be used to determine an objects ability to reflect light.	part		Sight	determine an objects ability to reflect light	
564	A claws for obtaining food is correctly paired with its function.	condition		claws	obtaining food	
565	Temperatures below freezing are expected overnight. Covering them might be done to protect plants growing outside.	cause		Covering them	protect plants growing outside	
566	It rained on a hot summer afternoon and a puddle formed. After several hours, the puddle was gone. Precipitation followed by evaporation made the puddle form and then disappear.	effect		Precipitation followed by evaporation 	form and then disappear	
567	Humans depend on water from the environment.	enable		water	humans	
568	An example of a poor health habit is eating candy instead of lunch.	requirement		eating candy instead of lunch	a poor health habit	
569	In New York State, the shortest period of daylight occurs during December.	effect		the shortest period of daylight	during December	
570	A fox grows thicker fur as a season changes. This adaptation helps the fox to keep warmer.	effect		A fox grows thicker fur	keep warmer	
571	A student should use a graduated cylinder to measure exactly 10 milliliters (mL) of water.	condition		a graduated cylinder	measure the volume of a liquid	
572	A student is growing some plants for an experiment. She notices small white spots on the leaves. She should use a hand lens to get a better look at the spots.	purpose		a hand lens	get a better look at the spots	
573	Temperature and sky conditions are both used to describe weather.	enable		Temperature and sky conditions	describe	
574	A decrease in air temperature from 60°F to 35°F would most likely cause a person to shiver.	condition		A decrease in air temperature	a person to shiver	
575	Base your answers on the information below. One hot, summer day it rained very heavily. After the rain, a plastic pan on a picnic table had 2 cm of rainwater in it. Four hours later, all the rainwater in the pan was gone. Evaporation caused the rainwater in the pan to disappear as it sat outside in the hot air.	purpose		Evaporation	disappear	
576	It rained on a hot summer afternoon and a puddle formed. After several hours, the puddle was gone. Precipitation followed by evaporation made the puddle form and then disappear.	condition		Precipitation followed by evaporation 	form and then disappear	
577	Centimeters can be used to describe the length of a desk.	requirement		Centimeters	describe the length of a desk	
578	One way animals usually respond to a sudden drop in temperature is by shivering.	part		shivering	respond to a sudden drop in temperature	
